50 50

.    .    .    .    |    .    .    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    .    .    .    .    .    .    .    .    .    .    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    .    .    
.    .    .    .    |    .    .    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    .    .    
.    .    .    .    |    .    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    10   10   10   10   10   10   10   10   10   10   1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    .    
.    .    .    .    |    50   2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    50   
--------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.    .    .    50   |    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    +    
.    .    2    2    |    +    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    +    
1    1    1    1    |    +    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    +    
1    1    1    1    |    +    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    +    
1    1    1    1    |    +    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
1    1    1    1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
.    1    10   1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    +    +    +    +    +    +    +    +    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
.    1    10   1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    +    +    +    +    +    +    +    +    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
.    1    10   1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    +    +    +    +    +    +    +    +    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
.    1    10   1    |    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    +    +    +    +    +    +    +    +    +    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    +    
